,id,name,popularity,artist_name,explicit,release date,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,playlist name
0,3MXCnmak0GBBduWbahRY8G,This Is For Rachel,47,Gxrrixon Productions,True,2020-01-16,0.9,0.461,-14.453,1,0.515,0.161,1.78e-06,0.089,0.35,96.985,[],End of Year Video
1,5gQcxYXqnofyocKgEbGYKt,Bounce Out With That,72,YBN Nahmir,True,2018-09-07,0.864,0.664,-7.315,1,0.104,0.0476,0.0,0.0863,0.381,94.932,"['alabama rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",End of Year Video
2,5DI9jxTHrEiFAhStG7VA8E,Started From the Bottom,66,Drake,True,2013-01-01,0.794,0.522,-7.829,1,0.159,0.0328,0.0,0.156,0.567,86.318,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",End of Year Video
3,1R7ChEm1x3mGhDWXKnPSXn,"Daaru Desi (From ""Cocktail"")",38,Benny Dayal,False,2012-06-12,0.703,0.786,-6.779,0,0.0483,0.198,0.000712,0.101,0.647,93.987,"['deep indian pop', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",End of Year Video
4,1R7ChEm1x3mGhDWXKnPSXn,"Daaru Desi (From ""Cocktail"")",38,Benny Dayal,False,2012-06-12,0.703,0.786,-6.779,0,0.0483,0.198,0.000712,0.101,0.647,93.987,"['deep indian pop', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",End of Year Video
5,1R7ChEm1x3mGhDWXKnPSXn,"Daaru Desi (From ""Cocktail"")",38,Benny Dayal,False,2012-06-12,0.703,0.786,-6.779,0,0.0483,0.198,0.000712,0.101,0.647,93.987,"['deep indian pop', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",End of Year Video
6,5vlEg2fT4cFWAqU5QptIpQ,Replay,75,Iyaz,False,2009-08-11,0.706,0.751,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,"['dance pop', 'pop rap', 'post-teen pop']",End of Year Video
7,6u5M4jPpYkoRV4vVHDQvkd,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",44,DJ Khaled,True,2010-03-02,0.549,0.791,-3.535,1,0.133,0.0104,0.0,0.444,0.292,150.093,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",End of Year Video
8,6f7BE3VcZScJx6n3wsf5Z3,I Like U,70,NIKI,True,2017-09-27,0.48,0.526,-7.099,1,0.275,0.071,0.0,0.0879,0.374,199.662,"['indie r&b', 'indonesian r&b', 'pop']",𝚃𝙾𝙿 𝟷𝟻
9,3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),85,Camila Cabello,False,2019-12-06,0.724,0.491,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,"['dance pop', 'pop', 'post-teen pop']",𝚃𝙾𝙿 𝟷𝟻
10,1PnAx788sAvcI3ZxTlEyX8,Second Emotion (feat. Travis Scott),69,Justin Bieber,False,2020-02-14,0.796,0.777,-6.112,0,0.0567,0.0276,2.87e-05,0.095,0.96,141.97,"['canadian pop', 'pop', 'post-teen pop']",𝚃𝙾𝙿 𝟷𝟻
11,2fmlkobTesiSyyzVYa6nkX,Netflix Trip,61,AJR,False,2017-06-09,0.486,0.733,-3.511,1,0.0409,0.0427,0.0,0.162,0.468,94.948,['modern rock'],𝚃𝙾𝙿 𝟷𝟻
12,4efZXKOFm1rk22FDjScLbE,Sunkissed,54,khai dreams,False,2019-10-11,0.768,0.354,-9.484,1,0.0539,0.592,0.0,0.399,0.793,153.97,"['indie pop', 'lo-fi beats', 'pop']",𝚃𝙾𝙿 𝟷𝟻
13,27aGlicHJKf5QY20looYlR,F You I Love You (feat. Teyana Taylor),62,KYLE,True,2019-08-23,0.756,0.486,-6.491,0,0.2,0.138,0.0,0.116,0.586,98.05,"['pop rap', 'rap']",𝚃𝙾𝙿 𝟷𝟻
14,6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,92,Lil Mosey,True,2020-02-07,0.774,0.554,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,"['melodic rap', 'rap conscient', 'trap', 'vapor trap']",𝚃𝙾𝙿 𝟷𝟻
15,5jiYx70OBzEI99jx1Gn3FN,Sober Up (feat. Rivers Cuomo),68,AJR,False,2017-06-09,0.648,0.62,-4.938,1,0.0276,0.284,0.0,0.0833,0.772,93.011,['modern rock'],𝚃𝙾𝙿 𝟷𝟻
16,0nbXyq5TXYPCO7pr3N8S4I,The Box,95,Roddy Ricch,True,2019-12-06,0.896,0.586,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,['melodic rap'],𝚃𝙾𝙿 𝟷𝟻
17,0fySG6A6qLE8IvDpayb5bM,VIBEZ,82,DaBaby,True,2019-09-27,0.768,0.652,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,['nc hip hop'],𝚃𝙾𝙿 𝟷𝟻
18,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),88,Justin Bieber,False,2020-02-14,0.806,0.546,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,"['canadian pop', 'pop', 'post-teen pop']",𝚃𝙾𝙿 𝟷𝟻
19,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,95,Drake,True,2020-04-03,0.834,0.454,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",𝚃𝙾𝙿 𝟷𝟻
20,6fWa5CRgy0z30OeGZyMBvD,Heart On Ice,81,Rod Wave,True,2019-06-14,0.733,0.389,-8.468,0,0.0738,0.0513,0.0,0.141,0.244,157.878,['florida rap'],𝚃𝙾𝙿 𝟷𝟻
21,7rTzrRdc5UbvLr0gwI1J3E,Out Of Love (feat. Internet Money),81,Lil Tecca,True,2020-04-17,0.732,0.654,-6.136,0,0.045,0.102,0.0,0.215,0.369,138.049,['melodic rap'],𝚃𝙾𝙿 𝟷𝟻
22,6l1H3jEQ1TB9q2sR7LZ0Ts,Level Up,41,Rexx Life Raj,True,2017-11-17,0.603,0.639,-9.848,1,0.351,0.0734,0.0,0.131,0.708,91.865,"['alternative r&b', 'cali rap', 'deep underground hip hop', 'trap soul', 'underground hip hop']",𝚃𝙾𝙿 𝟷𝟻
23,2ZN1EnypRwsD38EoFRwmu9,Droptop in the Rain (feat. Tory Lanez),59,Ty Dolla $ign,True,2017-10-27,0.73,0.581,-5.833,0,0.0828,0.0295,1.3e-05,0.106,0.359,137.98,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",𝚃𝙾𝙿 𝟷𝟻
24,0odBWJHRZntCidsR3D6q5Y,Juice,52,Chris Brown,True,2019-06-28,0.576,0.695,-4.826,1,0.16,0.0344,0.0,0.11,0.355,109.902,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",Close Songs Khairiyat
25,66Nmp3ztIMqX1j8yYtWl1X,Liggi,68,Ritviz,False,2019-12-23,0.786,0.667,-8.272,1,0.0539,0.0112,0.0533,0.074,0.688,102.05,"['desi hip hop', 'desi pop', 'indian edm', 'indian indie', 'modern bollywood']",Close Songs Khairiyat
26,7yEuRloGyxyu1KaWBTPP1Z,"Slow Motion (From ""Bharat"")",57,Shreya Ghoshal,False,2019-04-25,0.574,0.738,-5.526,1,0.0958,0.0235,2.03e-06,0.0959,0.307,109.996,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",Close Songs Khairiyat
27,71Udwiv5GsZghU6XQ5LXQj,Jaat Da Muqabala,58,Sidhu Moose Wala,False,2018-10-18,0.716,0.934,-2.431,1,0.0448,0.0561,7.33e-06,0.147,0.749,99.983,"['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop', 'punjabi pop']",Close Songs Khairiyat
